"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","X 좌표","Y 좌표"
"20001116","중구","2-소공동-큰-0205","02","소공동","205.00000000","느티나무","45.00000000","28.00000000","13.00000000","덕수궁","50","10.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","38.00000000","공원녹지과","197782.128","197782.1283"
"20001125","중구","2-광희동-큰-0042","02","광희동","42.00000000","은행나무","30.00000000","13.00000000","7.00000000","쌍림어린이공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","200474.019","200474.0193"
"20001132","중구","2-태평로1가동-큰-0104","02","태평로1가동","104.00000000","잣나무","20.00000000","7.00000000","4.00000000","장교동 쁘렝땅백화점","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Pinus koraiensis S. et Z.","2.00000000","34.00000000","공원녹지과","198828.929","198828.9291"
"20001140","중구","2-명동-큰-0067","02","명동","67.00000000","아카시아나무","35.00000000","27.00000000","15.00000000","숭의여대별관","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","198751.842","198751.8419"
"20001301","중구","2-명동-큰-0059","02","명동","59.00000000","은행나무","37.00000000","26.00000000","13.00000000","한국은행부지","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","34.00000000","공원녹지과","198709.32","198709.3202"
"20001308","중구","2-태평로1가동-큰-0118","02","태평로1가동","118.00000000","단풍나무","20.00000000","3.00000000","3.00000000","장교동 쁘렝땅백화점","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Acer palmatum Thunb.","2.00000000","34.00000000","공원녹지과","198872.68","198872.6795"
"20001316","중구","2-충무로4,5동-큰-0092","02","충무로4,5동","92.00000000","느티나무","20.00000000","7.00000000","7.00000000","덕수중학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","199819.661","199819.6605"
"20001324","중구","2-장충동-큰-0204","02","장충동","204.00000000","느티나무","42.00000000","7.00000000","8.00000000","장충공원","50","10.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","38.00000000","공원녹지과","200422.929","200422.9295"
"20001674","중구","2-신당6동-큰-0071","02","신당6동","71.00000000","양버즘나무","28.00000000","9.00000000","7.00000000","금호여중","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Platanus occidentalis L.","2.00000000","36.00000000","공원녹지과","201778.768","201778.7683"
"20001663","중구","2-신당6동-큰-0005","02","신당6동","5.00000000","느티나무","50.00000000","9.00000000","10.00000000","한일교회","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","201790.275","201790.2745"
"20001687","중구","2-소공동-큰-0064","02","소공동","64.00000000","아카시아나무","27.00000000","30.00000000","6.00000000","창덕여중","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","197428.368","197428.3678"
"20001857","중구","2-장충동-큰-0189","02","장충동","189.00000000","은행나무","32.00000000","7.00000000","4.00000000","장충공원","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","33.00000000","공원녹지과","200426.935","200426.9349"
"20001862","중구","2-장충동-큰-0040","02","장충동","40.00000000","아카시아나무","28.00000000","19.00000000","10.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","199978.27","199978.2695"
"20001871","중구","2-을지로3,4,5동-큰-0007","02","을지로3,4,5동","7.00000000","느티나무","45.00000000","12.00000000","8.00000000","을지로 3가 덕성여관","30","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Zelkova serrata Makino","2.00000000","41.00000000","공원녹지과","199480.333","199480.333"
"20000143","중구","2-소공동-큰-0252","02","소공동","252.00000000","은행나무","38.00000000","20.00000000","4.00000000","중앙일보","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","197391.257","197391.257"
"20000150","중구","2-신당6동-큰-0024","02","신당6동","24.00000000","향나무","25.00000000","5.00000000","3.00000000","청구초교","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Juniperus chinensis L.","2.00000000","34.00000000","공원녹지과","201269.238","201269.2376"
"20000158","중구","2-장충동-큰-0360","02","장충동","360.00000000","아카시아나무","58.00000000","8.00000000","5.00000000","자유센터","60","15.00000000","10.00000000","6.00000000","4","9","2.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","44.00000000","공원녹지과","200157.653","200157.6527"
